Date,Close
3/3/2015 16:00,97.68
3/4/2015 16:00,97.55
3/5/2015 16:00,97.61
3/6/2015 16:00,96.6
3/9/2015 16:00,96.9
3/10/2015 16:00,95.11
3/11/2015 16:00,95.32
3/12/2015 16:00,95.29
3/13/2015 16:00,95.93
3/16/2015 16:00,97.39
3/17/2015 16:00,96.68
3/18/2015 16:00,97.4
3/19/2015 16:00,97.62
3/20/2015 16:00,99
3/23/2015 16:00,98.18
3/24/2015 16:00,97.34
3/25/2015 16:00,92.57
3/26/2015 16:00,91.3
3/27/2015 16:00,93.89
3/30/2015 16:00,95.09
3/31/2015 16:00,94.02
4/1/2015 16:00,93.41
4/2/2015 16:00,93.2
4/6/2015 16:00,93.61
4/7/2015 16:00,93.65
4/8/2015 16:00,94.2
4/9/2015 16:00,95.43
4/10/2015 16:00,95.82
4/13/2015 16:00,95.25
4/14/2015 16:00,94.28
4/15/2015 16:00,95.85
4/16/2015 16:00,95.44
4/17/2015 16:00,94.08
4/20/2015 16:00,94.88
4/21/2015 16:00,95.53
4/22/2015 16:00,96.88
4/23/2015 16:00,95.38
4/24/2015 16:00,93.81
4/27/2015 16:00,94.05
4/28/2015 16:00,94.14
4/29/2015 16:00,93.62
4/30/2015 16:00,92.81
5/1/2015 16:00,95.39
5/4/2015 16:00,95.2
5/5/2015 16:00,93.13
5/6/2015 16:00,93.02
5/7/2015 16:00,94.04
5/8/2015 16:00,94.98
5/11/2015 16:00,95.04
5/12/2015 16:00,94.18
5/13/2015 16:00,94.76
5/14/2015 16:00,95.89
5/15/2015 16:00,96.05
5/18/2015 16:00,96.99
5/19/2015 16:00,96.64
5/20/2015 16:00,96.85
5/21/2015 16:00,97.34
5/22/2015 16:00,97.54
5/26/2015 16:00,96.79
5/27/2015 16:00,100.59
5/28/2015 16:00,100.69
5/29/2015 16:00,101.07
6/1/2015 16:00,101.13
6/2/2015 16:00,100
6/3/2015 16:00,99.32
6/4/2015 16:00,98.42
6/5/2015 16:00,98.43
6/8/2015 16:00,96.58
6/9/2015 16:00,96.52
6/10/2015 16:00,97.72
6/11/2015 16:00,97.69
6/12/2015 16:00,96.81
6/15/2015 16:00,96.61
6/16/2015 16:00,96.88
6/17/2015 16:00,96.96
6/18/2015 16:00,98.33
6/19/2015 16:00,97.84
6/22/2015 16:00,98.67
